nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud,categoria_negocio,categoria_id,density_500m,density_1000m,density_2000m,ratio_500m_2km,dist_city_center_km,local_density_1km,cluster_zone,dist_city_center_km^2,dist_city_center_km density_1000m,density_1000m^2,valoracion,puntuacion_std,reviews_std,reviews_bin,valoracion_norm,valoracion_por_cercania
Mutualidad,"Calle de Francisco Silvela, 106, Madrid",28002,2.9,519.0,"insurance_agency, point_of_interest, establishment",40.4389851,-3.6785267,Finanzas y Seguros,5,23,105,384,0.0597402597402597,3.2652426282829317,105,0,10.661809421556027,342.8504759697078,11025.0,2.9,-1.7709120652880916,-0.1727848810310044,muchos,0.5435497189174896,0.861750643364364
Solo de Uva,"Calle del Príncipe de Vergara, 210, Madrid",28002,4.2,18.0,"liquor_store, bar, store, restaurant, food, point_of_interest, establishment",40.4518609,-3.676916199999999,Restauración,9,17,70,370,0.045822102425876,4.514006232338699,70,0,20.376252265592615,315.9804362637089,4900.0,3.5057446694693364,0.1817469738155942,-0.2296024245962534,pocos,0.6169348237359693,0.7598049272014923
Los Gemelos,"Calle de López de Hoyos, 123, Madrid",28002,4.2,302.0,"point_of_interest, establishment",40.44625449999999,-3.6710913,Otros / No categorizado,7,34,69,301,0.1125827814569536,4.288500379772647,69,0,18.39123550731014,295.9065262043126,4761.0,4.199999999999679,0.1817469738155942,-0.1973944757488867,muchos,0.8287055308581972,0.9570467441129096
Nautalia viajes,"Calle de López de Hoyos, 92, Madrid",28002,4.1,27.0,"travel_agency, lodging, point_of_interest, establishment",40.44286959999999,-3.675622699999999,Alojamiento,1,29,83,348,0.0830945558739255,3.753827402806933,83,0,14.091220170064243,311.5676744329754,6889.0,3.8244573977670258,0.0315424323460791,-0.2285817501609496,pocos,0.6641860161695888,0.9923790035281508
Los Torreznos BAR,"Calle de López de Hoyos, 149, Madrid",28002,4.2,4012.0,"restaurant, bar, food, point_of_interest, establishment",40.44799109999999,-3.6687392,Restauración,9,22,62,255,0.0859375,4.564549370052986,62,0,20.83511095165111,283.00206094328513,3844.0,4.2,0.1817469738155942,0.2233502081374886,muchos,0.8107547877466401,0.9004085211241513
Enforex Camps,"Calle de Gustavo Fernández Balbuena, 11, 2º planta, Madrid",28002,4.5,201.0,"point_of_interest, establishment",40.4496534,-3.6678951,Otros / No categorizado,7,13,60,241,0.0537190082644628,4.751875984642656,60,0,22.580325373423616,285.1125590785594,3600.0,4.49999999160746,0.6323605982241368,-0.208848711078408,muchos,0.8929409556669166,0.9274763010948822
Cambridge House,"Calle de López de Hoyos, 95, Madrid",28002,4.9,128.0,"point_of_interest, establishment",40.4451306,-3.6728543,Otros / No categorizado,7,34,77,330,0.1027190332326284,4.0968772299647345,77,0,16.784403037403514,315.4595467072846,5929.0,4.8999864722143975,1.2331787641021943,-0.2171275148314283,normal,0.9785852963945076,1.167531524922775
Hotel NH Madrid Zurbano,"Calle de Zurbano, 79-81, Madrid",28003,4.2,2913.0,"lodging, point_of_interest, establishment",40.439051,-3.692878,Alojamiento,1,52,102,413,0.1256038647342995,2.6412770205199623,102,0,6.976344299126809,269.41025609303614,10404.0,4.2,0.1817469738155942,0.0987145187598264,muchos,0.7934601832487392,1.5321326405761606
Hotel NH Collection Madrid Abascal,"Calle de José Abascal, 47, Madrid",28003,4.6,2560.0,"lodging, point_of_interest, establishment",40.438314,-3.695182,Alojamiento,1,42,109,388,0.1079691516709511,2.5009972975982224,109,0,6.254987482593611,272.60870543820624,11881.0,4.6,0.7825651396936505,0.0586813992417966,muchos,0.931153394416246,1.7685523949785218
Madrid Musical Malaga8,"Calle de Málaga, 8, Madrid",28003,4.6,1695.0,"point_of_interest, store, establishment",40.4386949,-3.6933406,Comercio / Servicios,2,51,105,409,0.124390243902439,2.5905811835171537,105,0,6.711110868393137,272.0110242693011,11025.0,4.6,0.7825651396936505,-0.0394167548179646,muchos,0.91226898456848,1.7096677952630424
Taste Me - Restaurante Chamberí con terraza - Carne a la brasa,"Calle de Santa Engracia, 53, Madrid",28003,4.2,995.0,"bar, restaurant, food, point_of_interest, establishment",40.43337409999999,-3.6983286,Restauración,9,21,137,577,0.0363321799307958,1.9002620391010512,137,0,3.6109958172484857,260.33589935684404,18769.0,4.2,0.1817469738155942,-0.1188025442304883,muchos,0.8107547877466401,2.099724894988031
Barullo Company,"Calle de Santa Engracia, 131, Madrid",28003,4.0,550.0,"clothing_store, home_goods_store, point_of_interest, store, establishment",40.4422355,-3.7021677,Comercio / Servicios,2,16,87,321,0.0496894409937888,2.8316750168287936,87,0,8.018383400932349,246.35572646410503,7569.0,4.0,-0.1186621091234345,-0.1692692246427355,muchos,0.7806724614212002,1.364407711304515
Maruzzella,"Calle de Raimundo Fernández Villaverde, 28, Madrid",28003,4.4,2524.0,"restaurant, food, point_of_interest, establishment",40.4461776,-3.699724099999999,Restauración,9,36,87,380,0.0944881889763779,3.284810509278915,87,0,10.789980081869205,285.7785143072656,7569.0,4.4,0.482156056754623,0.0545987015005811,muchos,0.8665901426909144,1.2999250587109992
Cambridge University Press,"1º, Calle de José Abascal, 56, Madrid",28003,2.9,14.0,"point_of_interest, establishment",40.43778810000001,-3.6921908,Otros / No categorizado,7,55,104,432,0.1270207852193995,2.532216427624579,104,0,6.4121200363317845,263.3505084729562,10816.0,2.184868804569341,-1.7709120652880916,-0.2300560576786107,pocos,0.3972294908421585,0.8300490725760941
Restaurante Ferreiro,"Calle del Aviador Zorita, 32, Madrid",28003,4.3,1283.0,"restaurant, food, point_of_interest, establishment",40.4502106,-3.698173299999999,Restauración,9,37,110,400,0.0922693266832917,3.7454931565519254,110,0,14.028718985777306,412.0042472207118,12100.0,4.3,0.3319515152851079,-0.0861409623007643,muchos,0.8386724652187771,1.11819208224924
CAS Training,"Calle de la Basílica, 19, Planta 5, Madrid",28003,4.3,179.0,"point_of_interest, establishment",40.4490603,-3.6965976,Otros / No categorizado,7,33,92,411,0.0800970873786407,3.638614450656607,92,0,13.239515120527082,334.75252946040786,8464.0,4.299999927623558,0.3319515152851079,-0.211343693031373,normal,0.850117324229709,1.1501586976609357
Meliá Madrid Serrano,"Calle de Claudio Coello, 139, Madrid",28003,4.4,2748.0,"lodging, point_of_interest, establishment",40.435977,-3.685441,Alojamiento,1,39,130,454,0.0857142857142857,2.638569801526369,130,0,6.962050597526903,343.014074198428,16900.0,4.4,0.482156056754623,0.0800021541125887,muchos,0.8623067888324928,1.6066780541973464
Soy,"Calle de Viriato, 58, Madrid",28003,4.8,350.0,"restaurant, food, point_of_interest, establishment",40.4356141,-3.697028099999999,Restauración,9,30,133,506,0.059171597633136,2.1691447972972147,133,0,4.705189151641575,288.49625804052954,17689.0,4.799999999999996,1.0829742226326793,-0.1919508787605993,muchos,0.978260852579462,2.1153343787127605
Hotel Infantas by Mij,"Calle de las Infantas, 29, Madrid",28004,4.3,839.0,"lodging, point_of_interest, establishment",40.4201069,-3.6970542,Alojamiento,1,73,321,630,0.1156893819334389,0.6792171059794713,321,0,0.4613358770551283,218.02869101941027,103041.0,4.3,0.3319515152851079,-0.1364942344424221,muchos,0.8278834860406158,5.5183593468407315
Hotel Quatro Puerta Del Sol,"Calle de Sevilla, 4, Madrid",28004,4.0,1128.0,"lodging, point_of_interest, establishment",40.41706469999999,-3.6999545,Alojamiento,1,156,334,581,0.268041237113402,0.3268802165995799,334,0,0.1068506760041883,109.1779923442597,111556.0,4.0,-0.1186621091234345,-0.1037192442421088,muchos,0.7246135776649855,9.37031008806871
"Mandarin Oriental Ritz, Madrid","Plaza de la Lealtad, 5, Madrid",28004,4.7,3993.0,"lodging, spa, food, point_of_interest, establishment",40.4157577,-3.692606699999999,Restauración,9,34,240,627,0.054140127388535,0.9546729674130232,240,0,0.9114004747091872,229.12151217912557,57600.0,4.7,0.9327696811631656,0.2211954509962915,muchos,0.950343175107326,4.456357700651506
Inhala Hotel Garden,"Calle de San Bernardo, 1, Madrid",28004,3.9,5786.0,"lodging, point_of_interest, establishment",40.4206587,-3.7085482,Alojamiento,1,120,276,528,0.2268431001890359,0.5879400808910157,276,0,0.345673538718134,162.27146232592034,76176.0,3.9,-0.2688666505929489,0.4245364801629414,muchos,0.6901902748731087,5.669098382738137
Hotel Avenida Gran Via,"Calle de Mesonero Romanos, 14, Madrid",28004,3.7,826.0,"lodging, point_of_interest, establishment",40.41970120000001,-3.7040755,Alojamiento,1,164,304,569,0.287719298245614,0.3234411485578464,304,0,0.1046141765804189,98.32610916158532,92416.0,3.7,-0.569275733531977,-0.1379685419600833,muchos,0.6213436692893551,8.737932089503914
Hotel Vincci Via 66,"Gran Vía, 66, Madrid",28004,4.4,2361.0,"lodging, point_of_interest, establishment",40.42242909999999,-3.708891500000001,Alojamiento,1,93,238,517,0.1795366795366795,0.7599760479021824,238,0,0.5775635933850203,180.87429940071945,56644.0,4.4,0.482156056754623,0.0361131533945221,muchos,0.8623067888324928,5.116421568639405
Hotel Gran Versalles,"Calle de Covarrubias, 4, Madrid",28004,4.2,2427.0,"lodging, point_of_interest, establishment",40.4284208,-3.6970266,Alojamiento,1,34,141,634,0.0535433070866141,1.4136747207495752,141,0,1.9984762160863896,199.3281356256901,19881.0,4.2,0.1817469738155942,0.0435980992534172,muchos,0.7934601832487392,2.774704460889821
Petit Palace Preciados,"Calle de Galdo, 2, Madrid",28004,4.2,1351.0,"lodging, point_of_interest, establishment",40.4181053,-3.7043429,Alojamiento,1,179,299,560,0.3190730837789661,0.1522459791179841,299,0,0.0231788381575936,45.52154775627724,89401.0,4.2,0.1817469738155942,-0.0784291999006905,muchos,0.7934601832487392,16.650414070765095
Casino de Madrid,"Calle Alcalá, 15, Madrid",28004,4.6,2121.0,"point_of_interest, establishment",40.4178115,-3.7002572,Otros / No categorizado,7,158,333,586,0.2691652470187393,0.3203204804314942,333,0,0.1026052101838632,106.6667199836876,110889.0,4.6,0.7825651396936505,0.0088951684530854,muchos,0.9143527663324597,10.94403012500774
Hotel Atlántico,"Gran Vía, 38, Madrid",28004,4.7,1341.0,"lodging, point_of_interest, establishment",40.42040529999999,-3.7045863,Alojamiento,1,156,313,572,0.2722513089005235,0.4063803448774847,313,0,0.1651449847027434,127.19704794665272,97969.0,4.7,0.9327696811631656,-0.0795632826065837,muchos,0.9655766972081232,9.281560881153736
Hotel Moderno,"Calle del Arenal, 2, Madrid",28004,4.4,2175.0,"lodging, point_of_interest, establishment",40.4170417,-3.7048905,Alojamiento,1,168,295,552,0.3037974683544304,0.0961520449709489,295,0,0.0092452157520953,28.36485326642993,87025.0,4.4,0.482156056754623,0.0150192150649086,muchos,0.8623067888324928,22.43157852701287
Hotel Regina Madrid,"Calle Alcalá, 19, Madrid",28004,4.5,2730.0,"lodging, point_of_interest, establishment",40.4179133,-3.699877499999999,Alojamiento,1,154,340,589,0.2610169491525423,0.354393310209331,340,0,0.1255946183211271,120.49372547117255,115600.0,4.5,0.6323605982241368,0.077960805241981,muchos,0.8967300916243696,9.903314813166876
Hotel Puerta de Toledo,"Glorieta de la Puerta de Toledo, 4, Madrid",28005,4.3,3855.0,"lodging, point_of_interest, establishment",40.4063206,-3.7122787,Alojamiento,1,20,42,442,0.0451467268623024,1.3686234501118213,42,0,1.873130148195985,57.482184904696496,1764.0,4.3,0.3319515152851079,0.2055451096549654,muchos,0.8278834860406158,2.9279118481136854
